symbol,take_profit,stop_loss,max_hold_bars,volume_ratio,rsi_max,total_trades,win_rate,total_return,mdd,pf,avg_hold_bars
KRW-AAVE,0.01,0.008,30,2.0,70,1275,39.7,-182.47,-85.47,0.742,15.2
KRW-AAVE,0.01,0.008,30,1.5,65,981,39.7,-137.15,-76.82,0.741,15.7
KRW-AAVE,0.005,0.015,10,1.2,65,1249,47.3,-124.43,-73.86,0.741,8.3
KRW-AAVE,0.01,0.008,30,1.2,70,1913,39.4,-278.67,-94.65,0.739,15.2
KRW-AAVE,0.005,0.005,30,2.0,65,752,46.3,-77.8,-56.14,0.739,7.7
KRW-AAVE,0.005,0.008,30,1.2,70,2034,53.8,-241.73,-92.03,0.739,10.3
KRW-AAVE,0.015,0.01,30,1.5,65,952,34.5,-148.89,-79.32,0.738,21.7
KRW-AAVE,0.015,0.01,50,1.5,65,919,35.7,-165.56,-82.89,0.737,27.4
KRW-AAVE,0.005,0.01,10,2.0,70,1377,47.0,-138.16,-76.26,0.737,7.6
KRW-AAVE,0.005,0.015,10,1.2,70,2136,48.1,-220.09,-90.1,0.736,8.2
KRW-AAVE,0.01,0.008,20,1.2,65,1184,37.4,-158.64,-81.52,0.736,13.4
KRW-AAVE,0.015,0.008,20,2.0,70,1270,32.1,-180.59,-85.16,0.736,15.6
KRW-AAVE,0.01,0.005,50,2.0,70,1303,33.5,-176.07,-83.98,0.735,12.2
KRW-AAVE,0.005,0.01,10,1.2,65,1252,46.6,-127.32,-74.48,0.735,7.8
KRW-AAVE,0.005,0.008,20,2.0,70,1344,51.3,-155.3,-80.15,0.734,9.2
KRW-AAVE,0.015,0.005,50,2.0,65,724,26.9,-105.43,-67.95,0.733,16.5
KRW-AAVE,0.015,0.005,50,2.0,70,1269,26.9,-188.64,-86.6,0.731,15.8
KRW-AAVE,0.02,0.008,50,1.5,65,913,27.5,-168.02,-84.11,0.731,27.1
KRW-AAVE,0.005,0.01,10,1.2,70,2147,47.4,-224.42,-90.5,0.73,7.6
KRW-AAVE,0.005,0.008,20,1.2,70,2068,51.4,-244.47,-92.28,0.73,9.2
KRW-AAVE,0.02,0.008,30,1.2,70,1762,28.3,-293.72,-95.7,0.73,22.1
KRW-AAVE,0.02,0.01,20,1.5,65,960,30.0,-145.15,-78.98,0.73,20.2
KRW-AAVE,0.015,0.008,30,1.2,70,1829,32.4,-294.44,-95.65,0.73,18.8
KRW-AAVE,0.005,0.008,20,1.5,70,1782,51.2,-212.4,-89.26,0.728,9.2
KRW-AAVE,0.015,0.008,30,1.2,65,1134,32.9,-178.99,-85.08,0.728,19.2
KRW-AAVE,0.01,0.008,20,2.0,70,1297,37.7,-182.77,-84.99,0.727,12.9
KRW-AAVE,0.01,0.01,20,1.5,70,1673,38.7,-242.79,-91.97,0.727,14.5
KRW-AAVE,0.005,0.008,20,1.5,65,1016,50.4,-120.34,-72.25,0.727,9.7
KRW-AAVE,0.01,0.005,50,1.2,65,1198,33.3,-165.87,-83.53,0.726,12.8
KRW-AAVE,0.015,0.008,50,1.2,65,1103,32.3,-196.88,-87.82,0.726,23.2
KRW-AAVE,0.015,0.01,20,1.5,70,1630,32.8,-250.0,-93.04,0.725,17.2
KRW-AAVE,0.02,0.008,50,1.2,65,1072,27.2,-203.59,-88.97,0.724,27.3
KRW-AAVE,0.01,0.015,10,1.2,65,1236,36.2,-146.33,-79.2,0.724,10.5
KRW-AAVE,0.015,0.01,20,1.2,65,1153,33.2,-173.83,-84.2,0.724,17.6
KRW-AAVE,0.015,0.01,20,1.2,70,1867,32.6,-286.77,-95.28,0.724,17.3
KRW-AAVE,0.015,0.01,10,2.0,70,1334,31.1,-165.4,-82.84,0.723,11.5
KRW-AAVE,0.02,0.01,20,1.5,70,1582,29.1,-251.38,-93.22,0.723,20.2
KRW-AAVE,0.01,0.01,10,2.0,70,1355,35.7,-162.44,-81.73,0.723,9.8
KRW-AAVE,0.01,0.008,30,1.5,70,1661,38.8,-257.44,-93.23,0.723,15.2
KRW-AAVE,0.005,0.005,20,2.0,65,756,45.8,-81.47,-57.59,0.723,7.2
KRW-AAVE,0.005,0.008,10,1.2,65,1254,45.9,-133.34,-75.86,0.723,7.2
KRW-AAVE,0.02,0.005,30,2.0,65,726,23.8,-105.48,-67.38,0.723,16.8
KRW-AAVE,0.005,0.005,10,2.0,65,760,43.0,-76.0,-55.09,0.723,5.9
KRW-AAVE,0.02,0.005,20,2.0,65,732,24.6,-101.11,-66.06,0.721,14.8
KRW-AAVE,0.01,0.008,20,1.5,65,994,37.2,-140.56,-77.44,0.721,13.3
KRW-AAVE,0.02,0.01,20,1.2,70,1805,29.0,-289.97,-95.41,0.72,20.2
KRW-AAVE,0.005,0.015,10,1.5,70,1838,48.0,-203.09,-88.17,0.72,8.1
KRW-AAVE,0.015,0.008,30,1.5,70,1608,31.9,-267.71,-94.19,0.72,18.7
KRW-AAVE,0.005,0.008,10,2.0,70,1379,46.1,-149.99,-78.93,0.719,7.0
KRW-AAVE,0.02,0.008,30,1.5,65,946,28.9,-159.85,-81.91,0.719,22.1
KRW-AAVE,0.005,0.01,10,1.5,70,1846,47.2,-201.92,-88.01,0.719,7.6
KRW-AAVE,0.02,0.008,30,1.5,70,1554,27.8,-269.72,-94.49,0.719,22.0
KRW-AAVE,0.005,0.015,10,2.0,70,1375,47.6,-152.91,-79.61,0.718,8.1
KRW-AAVE,0.015,0.015,10,2.0,70,1332,31.7,-172.99,-84.1,0.718,12.1
KRW-AAVE,0.02,0.01,10,2.0,70,1316,28.1,-169.41,-84.02,0.718,13.4
KRW-AAVE,0.01,0.008,20,1.2,70,1968,36.9,-290.43,-95.16,0.717,13.0
KRW-AAVE,0.02,0.008,30,1.2,65,1110,28.9,-189.5,-86.7,0.717,22.3
KRW-AAVE,0.02,0.015,10,2.0,70,1314,28.6,-174.23,-84.78,0.717,14.1
KRW-AAVE,0.02,0.01,20,1.2,65,1131,29.7,-181.32,-85.44,0.716,20.2
KRW-AAVE,0.015,0.005,20,2.0,65,738,27.9,-100.87,-65.83,0.716,12.4
KRW-AAVE,0.015,0.008,20,1.2,65,1162,31.8,-176.37,-84.6,0.716,15.9
KRW-AAVE,0.015,0.008,50,1.5,65,935,32.1,-173.12,-84.06,0.715,23.3
KRW-AAVE,0.015,0.01,20,1.5,65,975,33.2,-151.55,-79.71,0.715,17.5
KRW-AAVE,0.01,0.005,50,1.2,70,1994,32.9,-293.52,-95.43,0.715,12.1
KRW-AAVE,0.01,0.005,30,2.0,70,1325,32.8,-185.61,-85.38,0.714,11.0
KRW-AAVE,0.005,0.005,50,1.2,65,1231,46.1,-146.39,-78.98,0.714,8.1
KRW-AAVE,0.01,0.015,10,1.2,70,2074,35.7,-260.81,-93.38,0.714,10.5
KRW-AAVE,0.015,0.005,30,2.0,65,734,27.0,-107.21,-67.85,0.713,14.1
KRW-AAVE,0.015,0.008,30,1.5,65,963,32.4,-159.96,-81.44,0.713,19.1
KRW-AAVE,0.01,0.005,30,1.2,65,1213,32.9,-168.91,-83.52,0.713,11.4
KRW-AAVE,0.01,0.015,10,2.0,70,1353,36.3,-173.77,-83.74,0.712,10.4
KRW-AAVE,0.02,0.008,20,1.5,65,966,28.4,-152.73,-80.41,0.711,18.5
KRW-AAVE,0.005,0.008,10,1.2,70,2152,46.3,-243.48,-92.15,0.711,7.0
KRW-AAVE,0.02,0.008,20,1.5,70,1607,27.6,-261.18,-93.87,0.71,18.4
KRW-AAVE,0.02,0.008,20,1.2,70,1838,27.7,-299.26,-95.83,0.71,18.4
KRW-AAVE,0.005,0.01,10,1.5,65,1046,46.4,-117.63,-71.67,0.709,7.8
KRW-AAVE,0.01,0.01,10,1.2,65,1239,35.5,-154.05,-80.58,0.709,9.9
KRW-AAVE,0.01,0.005,50,1.5,65,1002,32.8,-148.54,-79.23,0.709,12.8
KRW-AAVE,0.005,0.005,50,2.0,70,1360,46.4,-164.74,-81.82,0.708,7.6
KRW-AAVE,0.015,0.015,10,1.2,65,1223,32.0,-158.96,-81.89,0.707,12.1
KRW-AAVE,0.005,0.008,10,1.5,70,1848,46.2,-211.86,-89.15,0.707,7.0
KRW-AAVE,0.005,0.015,10,1.5,65,1043,47.1,-119.53,-72.35,0.707,8.4
