symbol,take_profit,stop_loss,max_hold_bars,volume_ratio,rsi_max,total_trades,win_rate,total_return,mdd,pf,avg_hold_bars,asset,resample_min,saved_at
KRW-AAVE,0.03,0.005,50,1.2,65,1094,17.8,-180.57,-86.92,0.724,25.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,20,1.2,65,1153,33.2,-173.83,-84.2,0.724,17.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,50,1.2,65,1072,27.2,-203.59,-88.97,0.724,27.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,30,1.5,70,1661,38.8,-257.44,-93.23,0.723,15.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.005,30,2.0,65,726,23.8,-105.48,-67.38,0.723,16.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.005,0.005,10,2.0,65,760,43.0,-76.0,-55.09,0.723,5.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,10,2.0,70,1334,31.1,-165.4,-82.84,0.723,11.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,20,1.5,70,1582,29.1,-251.38,-93.22,0.723,20.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.005,0.005,20,2.0,65,756,45.8,-81.47,-57.59,0.723,7.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,10,2.0,70,1355,35.7,-162.44,-81.73,0.723,9.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,10,1.2,65,1177,26.0,-149.23,-80.37,0.722,16.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.005,20,2.0,65,732,24.6,-101.11,-66.06,0.721,14.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,20,1.5,65,994,37.2,-140.56,-77.44,0.721,13.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.005,50,1.5,70,1513,17.8,-255.83,-94.16,0.72,24.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,20,1.2,70,1805,29.0,-289.97,-95.41,0.72,20.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,30,1.5,70,1608,31.9,-267.71,-94.19,0.72,18.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,30,1.5,70,1554,27.8,-269.72,-94.49,0.719,22.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,30,1.5,65,946,28.9,-159.85,-81.91,0.719,22.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,10,1.5,70,1661,25.0,-219.23,-91.04,0.719,17.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,10,2.0,70,1316,28.1,-169.41,-84.02,0.718,13.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.003,50,2.0,65,753,26.4,-88.85,-60.74,0.718,8.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.005,20,1.5,65,971,21.2,-139.72,-79.21,0.718,18.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,30,1.2,65,1110,28.9,-189.5,-86.7,0.717,22.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.005,50,1.2,70,1723,18.2,-293.03,-96.08,0.717,24.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,20,1.2,70,1968,36.9,-290.43,-95.16,0.717,13.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,20,1.2,65,1131,29.7,-181.32,-85.44,0.716,20.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.005,20,2.0,65,738,27.9,-100.87,-65.83,0.716,12.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,20,1.2,65,1162,31.8,-176.37,-84.6,0.716,15.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,20,1.5,65,975,33.2,-151.55,-79.71,0.715,17.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,50,1.5,65,935,32.1,-173.12,-84.06,0.715,23.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.005,50,1.2,70,1994,32.9,-293.52,-95.43,0.715,12.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.005,0.005,50,1.2,65,1231,46.1,-146.39,-78.98,0.714,8.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.003,30,2.0,65,755,26.6,-88.91,-60.71,0.714,7.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.005,30,2.0,70,1325,32.8,-185.61,-85.38,0.714,11.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.005,30,2.0,65,734,27.0,-107.21,-67.85,0.713,14.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.003,10,2.0,65,762,29.3,-80.25,-57.44,0.713,6.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.005,30,1.2,65,1213,32.9,-168.91,-83.52,0.713,11.4,CRYPTO,5,2026-04-27 01:27:34
